Title,Author,ISBN,Publisher,Year,Genre,Pages,Shelf Location,Cover URL,Summary,Google VolumeID,Loaned To,Notes
A First Course in Differential Equations with Modeling Applications,Dennis G. Zill,9788131522820,Cengage Learning,2013,Differential equations,384,2.4,,,npIRywEACAAJ,,Summary available via Google Books; Cover image available via Google Books
A First Course in General Relativity,Bernard F. Schutz,9780521277037,Cambridge University Press,1985,Science,376,2.7,,"General relativity has become one of the central pillars of theoretical physics, with important applications in both astrophysics and high-energy particle physics, and no modern theoretical physicist's education should be regarded as complete without some study of the subject. This textbook, based on the author's own undergraduate teaching, develops general relativity and its associated mathematics from a minimum of prerequisites, leading to a physical understanding of the theory in some depth. It reinforces this understanding by making a detailed study of the theory's most important applications - neutron stars, black holes, gravitational waves, and cosmology - using the most up-to-date astronomical developments. The book is suitable for a one-year course for beginning graduate students or for undergraduates in physics who have studied special relativity, vector calculus, and electrostatics. Graduate students should be able to use the book selectively for half-year courses.",qhDFuWbLlgQC,,Cover image available via Google Books
A First Course in Probability,Sheldon Ross,9780321926678,Pearson Education,2015,Mathematics,484,2.4,https://i.ebayimg.com/images/g/CncAAOSw87FirrPQ/s-l1200.jpg,"This is the eBook of the printed book and may not include any media, website access codes, or print supplements that may come packaged with the bound book. A First Course in Probability, Ninth Edition, features clear and intuitive explanations of the mathematics of probability theory, outstanding problem sets, and a variety of diverse examples and applications. This book is ideal for an upper-level undergraduate or graduate level introduction to probability for math, science, engineering and business students. It assumes a background in elementary calculus.",AstQCwAAQBAJ,,
A Guide to Chemical Engineering Process Design and Economics,Gael D. Ulrich,9780471082767,Wiley,1984,Technology & Engineering,480,2.7,,"Upper-level undergraduate text for process design courses in chemical engineering. Introduces students to the technology and terminology they will encounter in industrial practice. Presents short-cut techniques for specifying equipment or isolating important elements of a design project. Emphasizes project definition, flow sheet development and equipment specification. Covers the economics of process design. End-of-chapter exercises guide students through step-by-step solutions of design problems. Includes four case studies from past AICHE competitions.",pdVTAAAAMAAJ,,Cover image available via Google Books
A Guide to the SQL Standard,"C. J. Date,Hugh Darwen",9780201964264,Addison-Wesley,1997,Computers,522,2.12,"https://m.media-amazon.com/images/I/41kmmNxu-4L._AC_UF1000,1000_QL80_.jpg","franca database management; it provides the basis for systems interoperability, application portability, client/server operation, distributed database, and more, and is supported by just about every DBMS on the market today. SQL2 - or, to give it its official name, the International Standard Database language SQL (1992) - represents a major set of extensions to the earlier SQL standard. For a start, the new specification is well over 600 pages, compared with less than 100 for the original version. No database professional can afford to ignore it. Features *Thorough revision of the official ANSI standard for SQL. * Covers all important new SQL2 features including extensive integrity support, powerful new operators, national and international character data support and comprehensive date and time support. * Continues the tradition of careful, clear, and accurate explanations of complex technical material Features New to this Edition * Covers extensive integrity support, powerful new operators, national and international character data support, all features of SQL2; comprehensive date and time support and clear explanation of the complexitites of Dynamic SQL, all features of SQL2. * P",d89QAAAAMAAJ,,
A Journey Through Time,"Jay Barbree,Martin Caidin",9780670860180,Penguin Studio,1995,Political Science,232,2.5,"https://m.media-amazon.com/images/I/71hAkOee0UL._AC_UF1000,1000_QL80_.jpg","Barbree, coauthor of Moonshot (LJ 4/15/94) and a TV space journalist, and science fiction novelist Caidin survey the universe as seen by modern astronomers. Their prose is lush, and the color photographs are beautiful. After opening with an account of the initial failure of the Hubble optical system and its repair by a skilled and daring team of astronauts, the authors drift away from the Hubble story for whole chapters at a time; the text and the photos are derived from many sources, not just the Hubble Telescope. Compared with Carolyn Peterson's Hubble Vision (LJ 11/15/95), this new book is far more readable for the general public, but it gives far less scientific and technical detail and tells disappointingly less about the Hubble Telescope's work. Recommended chiefly for public and secondary school libraries.?Jack W. Weigel, Univ. of Michigan Lib., Ann Arbor.",VnjvAAAAMAAJ,,
A Little Smalltalk,Timothy Budd,9780201106985,Addison-Wesley,1987,Computers,280,2.12,"https://m.media-amazon.com/images/I/41Y3PWFPWDL._AC_UF1000,1000_QL80_.jpg","Budd's introduction to Smalltalk programming and the Little Smalltalk interpreter focuses on elementary, rather than advanced topics of object-oriented programming. The Little Smalltalk system runs under the UNIX operating system and can be executed on conventional terminals.",DMkgAQAAIAAJ,,
"A Practical Guide to Linux Commands, Editors, and Shell Programming",Mark G. Sobell,9780133085044,Pearson Education,2013,Computers,1154,2.12,"https://m.media-amazon.com/images/I/81t75wdlnWL._AC_UF1000,1000_QL80_.jpg","""First Sobell taught people how to use Linux . . . now he teaches you the power of Linux. A must-have book for anyone who wants to take Linux to the next level."" -Jon ""maddog"" Hall, Executive Director, Linux International  New Chapters on Python and MySQL-Covers Perl, too!   Learn from hundreds of realistic, high-quality examples, and become a true Linux command-line guru!   NEW! Covers busybox, Midnight Commander, screen, and sshfs/curlftpf   Covers the Mac OS X command line and its unique tools   295-page reference covers 98 utilities, including Mac OS X commands!   For use with all popular versions of Linux, including Ubuntu(tm), Fedora(tm), openSUSE(tm), Red Hat®, Debian, Mageia, Mint, Arch, CentOS, and Mac OS X, too!   The Most Useful Tutorial and Reference, with Hundreds of High-Quality Examples for Every Popular Linux Distribution   Linux is today''s dominant Internet server platform. System administrators and Web developers need deep Linux fluency, including expert knowledge of shells and the command line. This is the only guide with everything you need to achieve that level of Linux mastery. Renowned Linux expert Mark Sobell has brought together comprehensive, insightful guidance on the tools sysadmins, developers, and power users need most, and has created an outstanding day-to-day reference.   This title is 100 percent distribution and release agnostic. Packed with hundreds of high-quality, realistic examples, it presents Linux from the ground up: the clearest explanations and most useful information about everything from filesystems to shells, editors to utilities, and programming tools to regular expressions.   Use a Mac? You''ll find coverage of the Mac OS X command line, including OS X-only tools and utilities other Linux/UNIX titles ignore. Sobell presents a new MySQL chapter. There''s even an expert introduction to Python-today''s most valuable tool for automating complex, time-consuming administration tasks.   A Practical Guide to Linux® Command...",6gFvAQAAQBAJ,,
A Radiologist’s Overview of the AI Market,"Ty Vachon,Kent Hall,Mike Doxey",N/A,Unknown,,,,2.2,https://s3.amazonaws.com/kimicoapps-bookbuddy/17CFCE41-4AD6-48EB-8CEE-BFA8D5F0A61C,,,,Missing ISBN; Genre not classified; Publisher unknown
A Taste of Smalltalk,"Ted Kaehler,David A. Patterson",9780393955057,Norton,1986,Smalltalk-80 (Computer system),136,2.12,"https://m.media-amazon.com/images/I/515ZtvAYV8L._AC_UF1000,1000_QL80_.jpg",,6idpQgAACAAJ,,Summary available via Google Books
A User Guide to the UNIX System,"Rebecca Thomas,Jean L. Yates,Jean Yates",9780931988714,OSBORNE/McGraw-Hill,1982,Computers,508,2.6,"https://m.media-amazon.com/images/I/31-ScWptU3L._AC_UF894,1000_QL80_.jpg",Provides the Novice & Advanced UNIX System Users with a Manual of Necessary Commands & Requirements,58NQAAAAMAAJ,,
A War of Gifts,Orson Scott Card,9780765312822,Macmillan,2007,Fiction,126,2.6,,"Orson Scott Card offers a Christmas gift to his millions of fans with A War of Gifts, a short novel set during Ender Wiggin's first years at the Battle School where it is forbidden to celebrate religious holidays. The children come from many nations, many religions; while they are being trained for war, religious conflict between them is not on the curriculum. But Dink Meeker, one of the older students, doesn't see it that way. He thinks that giving gifts isn't exactly a religious observation, and on Sinterklaas Day he tucks a present into another student's shoe.This small act of rebellion sets off a battle royal between the students and the staff, but some surprising alliances form when Ender comes up against a new student, Zeck Morgan. The War over Santa Claus will force everyone to make a choice.THE ENDER UNIVERSE Ender series Ender’s Game / Speaker for the Dead / Xenocide / Children of the Mind / Ender in Exile / Children of the Fleet Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm / The Hive Ender novellas A War of Gifts / First Meetings",K1utPiKzAI8C,,Cover image available via Google Books
Absolute OpenBSD,Michael Warren Lucas,9781593270780,No Starch Press,2014,Computers,518,2.5,"https://m.media-amazon.com/images/I/51OVhUjihmL._AC_UF1000,1000_QL80_.jpg","Written for experienced UNIX users who want to add OpenBSD to their repertoire, this title assumes a reasonable knowledge of basic UNIX commands, design, and permissions. It's a straightforward, practical, and complete guide to mastering this powerful and complex operating system.",dN_JoQEACAAJ,,
Abstract Algebra,"David Steven Dummit,Richard M. Foote",9780130047717,Prentice Hall,1991,Mathematics,658,2.4,"https://m.media-amazon.com/images/I/81IhRS-J7iL._AC_UF1000,1000_QL80_.jpg","Reflects the authors' belief that readers should be given some insight into the the main themes of abstract algebra, as well as an understanding of how these themes provide a unifying framework for the study of basic algebra structures, such as groups, rings and fields.",wde1QgAACAAJ,,
ADA as a Second Language,Norman H. Cohen,9780070115897,McGraw-Hill,1986,Computers,838,2.6,"https://m.media-amazon.com/images/I/31b7L5aJkFL._AC_UF1000,1000_QL80_.jpg",,4tYmAAAAMAAJ,,Summary available via Google Books
Administering Apache,"Mark Arnold,Clint Miller,Jeff D. Almeida",9780072122916,McGraw-Hill,2000,Computers,513,2.5,,"Performance, reliability, security, and the fact that its free, are just some of the reasons Apache has become one of the most popular Web servers today. And, with over half of all companies that conduct business over the Web using Apache, keeping servers running at peak performance is vital to a companys success. Thats why administrators need a hands-on, task-oriented guide that deals with Apache on a day-to-day basis. This complete guide offers administrators clear step-by-step instructions on everything from securing and programming the Apache Web server to creating multiple domain sites on one server, and an extensive troubleshooting section.",t_9SAAAAMAAJ,,Cover image available via Google Books
Advanced Apex Programming in Salesforce,Dan Appleman,9781936754120,Desaware Publishing,2018,Computers,334,2.12,,"Note: The fifth edition of this book is now available ISBN: 978-1936754144 in both paperback and eBook formats Beyond the Salesforce documentation - Fourth edition  Advanced Apex Programming in Salesforce is neither a tutorial nor a book for beginners. Intended for developers who are already familiar with the Apex language, and experienced Java and C# developers who are moving to Apex, this book starts where the Salesforce Apex documentation leaves off. Instead of trying to cover all of the features of the platform, Advanced Apex programming focuses entirely on the Apex language and core design patterns. You'll learn how to truly think in Apex - to embrace limits and bulk patterns. You'll see how to develop architectures for efficient and reliable trigger handling, and for asynchronous operations. You'll discover that best practices differ radically depending on whether you are building software for a specific organization or for a managed package. And you'll find approaches for incorporating testing and diagnostic code that can dramatically improve the reliability and deployment of Apex software, and reduce your lifecycle and support costs. Based on his experience as a consultant, Salesforce MVP and architect of major AppExchange packages, Dan Appleman focuses on the real-world problems and issues that are faced by Apex developers every day, along with the obscure problems and surprises that can sneak up on you if you are unprepared.This fourth edition contains updates through Summer 18 (API 43) along with significant new content including Salesforce DX",vsbsugEACAAJ,,Cover image available via Google Books
Advanced Linear Algebra,Steven Roman,9780387728315,Springer Science & Business Media,2007,Mathematics,525,2.4,,"For the third edition, the author has added a new chapter on associative algebras that includes the well known characterizations of the finite-dimensional division algebras over the real field (a theorem of Frobenius) and over a finite field (Wedderburn's theorem); polished and refined some arguments (such as the discussion of reflexivity, the rational canonical form, best approximations and the definitions of tensor products); upgraded some proofs that were originally done only for finite-dimensional/rank cases; added new theorems, including the spectral mapping theorem; corrected all known errors; the reference section has been enlarged considerably, with over a hundred references to books on linear algebra. From the reviews of the second edition: “In this 2nd edition, the author has rewritten the entire book and has added more than 100 pages of new materials. ... As in the previous edition, the text is well written and gives a thorough discussion of many topics of linear algebra and related fields. ... the exercises are rewritten and expanded. ... Overall, I found the book a very useful one. ... It is a suitable choice as a graduate text or as a reference book.” Ali-Akbar Jafarian, ZentralblattMATH “This is a formidable volume, a compendium of linear algebra theory, classical and modern ... . The development of the subject is elegant ... . The proofs are neat ... . The exercise sets are good, with occasional hints given for the solution of trickier problems. ... It represents linear algebra and does so comprehensively.” Henry Ricardo, MathDL",bSyQr-wUys8C,,Cover image available via Google Books
